iter	Passed	Remaining
0	60	9029
1	71	5323
2	84	4119
3	93	3410
4	104	3027
5	115	2778
6	126	2582
7	137	2442
8	147	2313
9	157	2204
10	166	2103
11	173	1997
12	181	1909
13	185	1804
14	190	1713
15	196	1645
16	201	1575
17	206	1517
18	211	1459
19	217	1412
20	223	1374
21	229	1332
22	233	1289
23	237	1248
24	243	1217
25	247	1182
26	252	1150
27	259	1129
28	263	1100
29	268	1074
30	273	1050
31	278	1027
32	283	1003
33	287	981
34	293	963
35	297	942
36	302	924
37	308	907
38	313	890
39	317	873
40	322	857
41	327	842
42	332	827
43	337	813
44	343	800
45	347	785
46	352	772
47	358	761
48	362	747
49	367	734
50	372	723
51	377	711
52	382	699
53	388	690
54	393	679
55	398	668
56	403	657
57	408	648
58	413	637
59	418	627
60	423	618
61	428	608
62	432	597
63	438	589
64	443	579
65	448	570
66	454	562
67	458	552
68	463	543
69	467	534
70	473	526
71	477	517
72	482	508
73	488	501
74	493	493
75	498	485
76	504	478
77	509	470
78	514	462
79	520	455
80	524	447
81	529	439
82	535	432
83	540	424
84	545	417
85	551	410
86	556	403
87	561	395
88	566	388
89	571	381
90	576	373
91	580	366
92	586	359
93	591	352
94	595	344
95	600	337
96	606	331
97	610	323
98	616	317
99	621	310
100	626	303
101	631	296
102	636	290
103	640	283
104	645	276
105	650	270
106	655	263
107	659	256
108	664	250
109	669	243
110	674	236
111	679	230
112	685	224
113	689	217
114	694	211
115	700	205
116	704	198
117	709	192
118	713	185
119	718	179
120	723	173
121	727	167
122	733	160
123	737	154
124	741	148
125	746	142
126	751	136
127	755	129
128	761	123
129	766	117
130	770	111
131	775	105
132	781	99
133	785	93
134	790	87
135	796	82
136	801	76
137	806	70
138	810	64
139	815	58
140	820	52
141	825	46
142	830	40
143	834	34
144	839	28
145	845	23
146	850	17
147	854	11
148	859	5
149	865	0
